State,Year,Quarter,District,Insurance_Count,Insurance_Amount
andhra-pradesh,2021,1,guntur,2412,1398326.0
andhra-pradesh,2021,1,krishna,2722,1699716.0
andhra-pradesh,2021,2,east godavari,2343,1695121.0
andhra-pradesh,2021,2,srikakulam,842,755796.0
andhra-pradesh,2021,2,spsr nellore,1817,1245872.0
andhra-pradesh,2021,2,vizianagaram,815,702006.0
andhra-pradesh,2021,2,visakhapatnam,4655,3497573.0
andhra-pradesh,2021,2,prakasam,5308,2719134.0
andhra-pradesh,2021,2,anantapur,1631,1284850.0
andhra-pradesh,2021,2,ysr,1404,1026195.0
andhra-pradesh,2021,2,west godavari,4170,2327122.0
andhra-pradesh,2021,2,kurnool,1410,941389.0
andhra-pradesh,2021,2,chittoor,2392,1839579.0
andhra-pradesh,2021,2,guntur,2967,2201793.0
andhra-pradesh,2021,2,krishna,3451,2494257.0
andhra-pradesh,2021,3,east godavari,2248,2073825.0
andhra-pradesh,2021,3,srikakulam,798,803258.0
andhra-pradesh,2021,3,spsr nellore,1486,1161025.0
andhra-pradesh,2021,3,vizianagaram,736,628946.0
andhra-pradesh,2021,3,visakhapatnam,4044,3191769.0
andhra-pradesh,2021,3,prakasam,1050,877683.0
andhra-pradesh,2021,3,anantapur,1329,1311735.0
andhra-pradesh,2021,3,ysr,1137,1033282.0
andhra-pradesh,2021,3,west godavari,1452,1216098.0
andhra-pradesh,2021,3,kurnool,1027,796678.0
andhra-pradesh,2021,3,chittoor,1991,1995617.0
andhra-pradesh,2021,3,guntur,2519,2102143.0
andhra-pradesh,2021,3,krishna,3258,2722279.0
andhra-pradesh,2021,4,east godavari,2532,3543718.0
andhra-pradesh,2021,4,srikakulam,1116,1152210.0
andhra-pradesh,2021,4,spsr nellore,2369,2345876.0
andhra-pradesh,2021,4,vizianagaram,924,916336.0
andhra-pradesh,2021,4,visakhapatnam,4176,5425896.0
andhra-pradesh,2021,4,prakasam,1181,1328774.0
andhra-pradesh,2021,4,anantapur,1322,2101400.0
andhra-pradesh,2021,4,ysr,1449,1479933.0
andhra-pradesh,2021,4,west godavari,1262,1853561.0
andhra-pradesh,2021,4,kurnool,910,1306288.0
andhra-pradesh,2021,4,chittoor,2444,3100521.0
andhra-pradesh,2021,4,guntur,2709,3214794.0
andhra-pradesh,2021,4,krishna,3029,3841028.0
andhra-pradesh,2022,1,east godavari,3605,5199664.0
andhra-pradesh,2022,1,srikakulam,1004,1393633.0
andhra-pradesh,2022,1,spsr nellore,1878,2608475.0
andhra-pradesh,2022,1,vizianagaram,949,1344329.0
andhra-pradesh,2022,1,visakhapatnam,5196,6953446.0
andhra-pradesh,2022,1,prakasam,1797,2181402.0
andhra-pradesh,2022,1,anantapur,1551,2556602.0
andhra-pradesh,2022,1,ysr,1439,2086496.0
andhra-pradesh,2022,1,west godavari,1991,3109555.0
andhra-pradesh,2022,1,kurnool,995,1641988.0
andhra-pradesh,2022,1,chittoor,2887,4304499.0
andhra-pradesh,2022,1,guntur,2748,3988284.0
andhra-pradesh,2022,1,krishna,3914,5279784.0
andhra-pradesh,2022,2,east godavari,3103,3899091.0
andhra-pradesh,2022,2,srikakulam,946,1282760.0
andhra-pradesh,2022,2,spsr nellore,2063,2686947.0
andhra-pradesh,2022,2,vizianagaram,1145,1412957.0
andhra-pradesh,2022,2,visakhapatnam,5851,7046107.0
andhra-pradesh,2022,2,prakasam,1962,2331922.0
andhra-pradesh,2022,2,anantapur,1794,2729962.0
andhra-pradesh,2022,2,ysr,1418,1920103.0
andhra-pradesh,2022,2,west godavari,2141,2903957.0
andhra-pradesh,2022,2,kurnool,1233,1573534.0
andhra-pradesh,2022,2,chittoor,2836,4207850.0
andhra-pradesh,2022,2,guntur,3115,3979873.0
andhra-pradesh,2022,2,krishna,4578,5733009.0
andhra-pradesh,2022,3,east godavari,4355,5505134.0
andhra-pradesh,2022,3,srikakulam,1079,1444643.0
andhra-pradesh,2022,3,spsr nellore,2593,3257610.0
andhra-pradesh,2022,3,vizianagaram,1270,1573445.0
andhra-pradesh,2022,3,visakhapatnam,6720,7779967.0
andhra-pradesh,2022,3,prakasam,2137,2552054.0
andhra-pradesh,2022,3,anantapur,1934,2719786.0
andhra-pradesh,2022,3,ysr,1892,2559169.0
andhra-pradesh,2022,3,west godavari,2314,3113617.0
andhra-pradesh,2022,3,kurnool,1318,1720753.0
andhra-pradesh,2022,3,chittoor,3729,5145111.0
andhra-pradesh,2022,3,guntur,4431,5271211.0
andhra-pradesh,2022,3,krishna,5529,6149431.0
andhra-pradesh,2022,4,east godavari,4450,5856052.0
andhra-pradesh,2022,4,srikakulam,1294,1623449.0
andhra-pradesh,2022,4,spsr nellore,2733,3658896.0
andhra-pradesh,2022,4,vizianagaram,1373,1680979.0
andhra-pradesh,2022,4,visakhapatnam,7636,9911879.0
andhra-pradesh,2022,4,prakasam,2400,2848596.0
andhra-pradesh,2022,4,anantapur,2425,3710468.0
andhra-pradesh,2022,4,ysr,2261,2993022.0
andhra-pradesh,2022,4,west godavari,2623,3513389.0
andhra-pradesh,2022,4,kurnool,1810,2859172.0
andhra-pradesh,2022,4,chittoor,4641,6166050.0
andhra-pradesh,2022,4,guntur,5199,6244165.0
andhra-pradesh,2022,4,krishna,5484,6977122.0
andhra-pradesh,2023,1,east godavari,4069,5915626.0
andhra-pradesh,2023,1,srikakulam,1100,1628429.0
andhra-pradesh,2023,1,spsr nellore,2461,3621734.0
andhra-pradesh,2023,1,vizianagaram,1104,1619607.0
andhra-pradesh,2023,1,visakhapatnam,6752,9502319.0
andhra-pradesh,2023,1,prakasam,1437,2188369.0
andhra-pradesh,2023,1,anantapur,1565,2882540.0
andhra-pradesh,2023,1,ysr,1509,2235497.0
andhra-pradesh,2023,1,west godavari,2196,3370241.0
andhra-pradesh,2023,1,kurnool,1208,2088411.0
andhra-pradesh,2023,1,chittoor,3284,5677174.0
andhra-pradesh,2023,1,guntur,3542,4957590.0
andhra-pradesh,2023,1,krishna,4693,6275818.0
andhra-pradesh,2023,2,east godavari,3690,5519480.0
andhra-pradesh,2023,2,srikakulam,1083,1556225.0
andhra-pradesh,2023,2,spsr nellore,2468,3679371.0
andhra-pradesh,2023,2,vizianagaram,1227,1530183.0
andhra-pradesh,2023,2,visakhapatnam,7000,8910217.0
andhra-pradesh,2023,2,prakasam,1311,1880405.0
andhra-pradesh,2023,2,anantapur,1688,3027497.0
andhra-pradesh,2023,2,ysr,1652,2426306.0
andhra-pradesh,2023,2,west godavari,2140,3383512.0
andhra-pradesh,2023,2,kurnool,1473,2483871.0
andhra-pradesh,2023,2,chittoor,3756,5988173.0
andhra-pradesh,2023,2,guntur,3725,5015442.0
andhra-pradesh,2023,2,krishna,5163,6666796.0
andhra-pradesh,2023,3,east godavari,4157,5720660.0
andhra-pradesh,2023,3,srikakulam,1308,1724487.0
andhra-pradesh,2023,3,spsr nellore,3082,3962298.0
andhra-pradesh,2023,3,vizianagaram,1274,1526422.0
andhra-pradesh,2023,3,visakhapatnam,8972,11107138.0
andhra-pradesh,2023,3,prakasam,1695,2170370.0
andhra-pradesh,2023,3,anantapur,1947,3392196.0
andhra-pradesh,2023,3,ysr,1900,2732465.0
andhra-pradesh,2023,3,west godavari,2308,3162591.0
andhra-pradesh,2023,3,kurnool,1723,2310997.0
andhra-pradesh,2023,3,chittoor,3993,6350318.0
andhra-pradesh,2023,3,guntur,4604,5810698.0
andhra-pradesh,2023,3,krishna,6187,7831756.0
andhra-pradesh,2023,4,east godavari,4294,6404501.0
andhra-pradesh,2023,4,srikakulam,1327,1851290.0
andhra-pradesh,2023,4,spsr nellore,2739,3968074.0
andhra-pradesh,2023,4,vizianagaram,1350,1745449.0
andhra-pradesh,2023,4,visakhapatnam,8787,12027284.0
andhra-pradesh,2023,4,prakasam,1561,2357325.0
andhra-pradesh,2023,4,anantapur,2143,3651525.0
andhra-pradesh,2023,4,ysr,1923,2738253.0
andhra-pradesh,2023,4,west godavari,2198,3630998.0
andhra-pradesh,2023,4,kurnool,1829,3161720.0
andhra-pradesh,2023,4,chittoor,4025,7322967.0
andhra-pradesh,2023,4,guntur,4354,6154821.0
andhra-pradesh,2023,4,krishna,5268,7328216.0
andhra-pradesh,2024,1,east godavari,5344,6899327.0
andhra-pradesh,2024,1,srikakulam,1651,1876987.0
andhra-pradesh,2024,1,spsr nellore,2931,3961012.0
andhra-pradesh,2024,1,vizianagaram,1683,2049836.0
andhra-pradesh,2024,1,visakhapatnam,9034,12016206.0
andhra-pradesh,2024,1,prakasam,1801,2513184.0
andhra-pradesh,2024,1,anantapur,2194,3722783.0
andhra-pradesh,2024,1,ysr,1935,2972264.0
andhra-pradesh,2024,1,west godavari,2808,4029842.0
andhra-pradesh,2024,1,kurnool,1916,2727094.0
andhra-pradesh,2024,1,chittoor,4784,6901394.0
andhra-pradesh,2024,1,guntur,4613,5985992.0
andhra-pradesh,2024,1,krishna,5888,7907881.0
andhra-pradesh,2024,2,east godavari,4730,6812370.0
andhra-pradesh,2024,2,srikakulam,1568,1961204.0
andhra-pradesh,2024,2,spsr nellore,2708,4456805.0
andhra-pradesh,2024,2,vizianagaram,1575,1986175.0
andhra-pradesh,2024,2,visakhapatnam,9077,12170419.0
andhra-pradesh,2024,2,prakasam,2008,2858214.0
andhra-pradesh,2024,2,anantapur,1868,3445825.0
andhra-pradesh,2024,2,ysr,1652,2692864.0
andhra-pradesh,2024,2,west godavari,2505,3448213.0
andhra-pradesh,2024,2,kurnool,1664,2836292.0
andhra-pradesh,2024,2,chittoor,3925,6646337.0
andhra-pradesh,2024,2,guntur,3946,6093685.0
andhra-pradesh,2024,2,krishna,5321,7539878.0
andhra-pradesh,2024,3,east godavari,2001,3116536.0
andhra-pradesh,2024,3,srikakulam,1408,1957392.0
andhra-pradesh,2024,3,visakhapatnam,8553,12088761.0
andhra-pradesh,2024,3,sri potti sriramulu nellore,2386,3626372.0
andhra-pradesh,2024,3,kurnool,960,1691366.0
andhra-pradesh,2024,3,guntur,3703,5419362.0
andhra-pradesh,2024,3,krishna,1321,1995792.0
andhra-pradesh,2024,3,spsr nellore,1,5123.0
andhra-pradesh,2024,3,annamayya,1010,2118386.0
andhra-pradesh,2024,3,ananthapuramu,1310,2511508.0
andhra-pradesh,2024,3,vizianagaram,1608,2223183.0
andhra-pradesh,2024,3,tirupati,3517,5808106.0
andhra-pradesh,2024,3,alluri sitharama raju,278,356671.0
andhra-pradesh,2024,3,nandyal,615,1147603.0
andhra-pradesh,2024,3,sri sathyasai,768,1615122.0
andhra-pradesh,2024,3,palnadu,960,1461960.0
andhra-pradesh,2024,3,prakasam,1405,1885692.0
andhra-pradesh,2024,3,parvathipuram manyam,361,468615.0
andhra-pradesh,2024,3,anantapur,2,41706.0
andhra-pradesh,2024,3,dr br ambedkar konaseema,882,1478929.0
andhra-pradesh,2024,3,bapatla,797,1356652.0
andhra-pradesh,2024,3,ntr,4856,6761184.0
andhra-pradesh,2024,3,kakinada,2269,3477318.0
andhra-pradesh,2024,3,anakapalli,1792,2253638.0
andhra-pradesh,2024,3,ysr,1406,2419022.0
andhra-pradesh,2024,3,west godavari,1154,1792789.0
andhra-pradesh,2024,3,eluru,1259,2088060.0
andhra-pradesh,2024,3,chittoor,1432,2748351.0
andhra-pradesh,2024,4,east godavari,2499,3119010.0
andhra-pradesh,2024,4,srikakulam,1874,2198375.0
andhra-pradesh,2024,4,visakhapatnam,9897,13254184.0
andhra-pradesh,2024,4,sri potti sriramulu nellore,3193,4050293.0
andhra-pradesh,2024,4,kurnool,1371,2100914.0
andhra-pradesh,2024,4,guntur,4159,5517638.0
andhra-pradesh,2024,4,krishna,1706,2112206.0
andhra-pradesh,2024,4,annamayya,1343,2036321.0
andhra-pradesh,2024,4,ananthapuramu,1672,2619784.0
andhra-pradesh,2024,4,vizianagaram,1926,1988306.0
andhra-pradesh,2024,4,tirupati,4169,6081241.0
andhra-pradesh,2024,4,alluri sitharama raju,359,401184.0
andhra-pradesh,2024,4,nandyal,911,1339586.0
andhra-pradesh,2024,4,sri sathyasai,1032,1634709.0
andhra-pradesh,2024,4,palnadu,1417,1540990.0
andhra-pradesh,2024,4,prakasam,2499,2645564.0
andhra-pradesh,2024,4,parvathipuram manyam,452,451326.0
andhra-pradesh,2024,4,dr br ambedkar konaseema,1203,1374247.0
andhra-pradesh,2024,4,bapatla,1175,1540112.0
andhra-pradesh,2024,4,ntr,7077,8504106.0
andhra-pradesh,2024,4,kakinada,2905,3879273.0
andhra-pradesh,2024,4,anakapalli,2018,2214934.0
andhra-pradesh,2024,4,ysr,1792,2640383.0
andhra-pradesh,2024,4,west godavari,1534,1956650.0
andhra-pradesh,2024,4,eluru,1638,2188266.0
andhra-pradesh,2024,4,chittoor,1604,2639312.0
arunachal-pradesh,2020,2,lower dibang valley,2,513.0
arunachal-pradesh,2020,2,west kameng,2,513.0
arunachal-pradesh,2020,2,lower subansiri,1,231.0
arunachal-pradesh,2020,2,west siang,5,1124.0
arunachal-pradesh,2020,2,kamle,1,298.0
arunachal-pradesh,2020,2,east siang,2,469.0
arunachal-pradesh,2020,2,tirap,5,1026.0
arunachal-pradesh,2020,2,lepa rada,1,282.0
arunachal-pradesh,2020,2,tawang,3,827.0
arunachal-pradesh,2020,2,namsai,1,231.0
arunachal-pradesh,2020,2,papum pare,33,6304.0
arunachal-pradesh,2020,2,changlang,9,2511.0
arunachal-pradesh,2020,3,lower dibang valley,4,843.0
arunachal-pradesh,2020,3,lower subansiri,1,662.0
arunachal-pradesh,2020,3,longding,1,166.0
arunachal-pradesh,2020,3,west siang,5,2052.0
arunachal-pradesh,2020,3,kamle,1,166.0
arunachal-pradesh,2020,3,upper siang,1,281.0
arunachal-pradesh,2020,3,tirap,3,939.0
arunachal-pradesh,2020,3,papum pare,60,15776.0
arunachal-pradesh,2020,3,siang,1,184.0
arunachal-pradesh,2020,3,lower siang,1,662.0
arunachal-pradesh,2020,3,changlang,2,364.0
arunachal-pradesh,2020,3,dibang valley,3,66.0
arunachal-pradesh,2020,3,west kameng,12,3466.0
arunachal-pradesh,2020,3,east siang,22,9675.0
arunachal-pradesh,2020,3,upper subansiri,2,66.0
arunachal-pradesh,2020,3,east kameng,2,695.0
arunachal-pradesh,2020,3,lohit,9,1557.0
arunachal-pradesh,2020,3,lepa rada,1,548.0
arunachal-pradesh,2020,3,tawang,1,33.0
arunachal-pradesh,2020,3,namsai,3,1486.0
arunachal-pradesh,2020,4,lower dibang valley,9,1981.0
arunachal-pradesh,2020,4,lower subansiri,1,32.0
arunachal-pradesh,2020,4,west siang,1,162.0
arunachal-pradesh,2020,4,tirap,4,1561.0
arunachal-pradesh,2020,4,papum pare,48,21298.0
arunachal-pradesh,2020,4,siang,2,691.0
arunachal-pradesh,2020,4,lower siang,1,33.0
arunachal-pradesh,2020,4,changlang,7,5505.0
arunachal-pradesh,2020,4,pakke kessang,2,1017.0
arunachal-pradesh,2020,4,dibang valley,1,2967.0
arunachal-pradesh,2020,4,west kameng,15,22182.0
arunachal-pradesh,2020,4,east siang,10,8075.0
arunachal-pradesh,2020,4,upper subansiri,2,1154.0
arunachal-pradesh,2020,4,east kameng,1,32.0
arunachal-pradesh,2020,4,lohit,5,4148.0
arunachal-pradesh,2020,4,lepa rada,3,2685.0
arunachal-pradesh,2020,4,tawang,10,9740.0
arunachal-pradesh,2020,4,namsai,3,984.0
arunachal-pradesh,2021,1,lower dibang valley,5,4680.0
arunachal-pradesh,2021,1,lower subansiri,2,5103.0
arunachal-pradesh,2021,1,longding,2,1334.0
arunachal-pradesh,2021,1,west siang,7,3690.0
arunachal-pradesh,2021,1,kamle,1,167.0
arunachal-pradesh,2021,1,upper siang,5,900.0
arunachal-pradesh,2021,1,tirap,7,7696.0
arunachal-pradesh,2021,1,papum pare,65,62651.0
arunachal-pradesh,2021,1,siang,2,136.0
arunachal-pradesh,2021,1,lower siang,5,733.0
arunachal-pradesh,2021,1,kra daadi,2,366.0
arunachal-pradesh,2021,1,changlang,12,4524.0
arunachal-pradesh,2021,1,pakke kessang,2,415.0
arunachal-pradesh,2021,1,dibang valley,1,669.0
arunachal-pradesh,2021,1,west kameng,15,9871.0
arunachal-pradesh,2021,1,east siang,18,8695.0
arunachal-pradesh,2021,1,upper subansiri,7,4237.0
arunachal-pradesh,2021,1,east kameng,4,132.0
arunachal-pradesh,2021,1,lohit,11,2951.0
arunachal-pradesh,2021,1,lepa rada,2,1258.0
arunachal-pradesh,2021,1,tawang,11,10155.0
arunachal-pradesh,2021,1,namsai,8,1248.0
arunachal-pradesh,2021,2,lower dibang valley,14,8091.0
arunachal-pradesh,2021,2,lower subansiri,10,4236.0
arunachal-pradesh,2021,2,west siang,18,8990.0
arunachal-pradesh,2021,2,upper siang,1,210.0
arunachal-pradesh,2021,2,tirap,1,1405.0
arunachal-pradesh,2021,2,papum pare,69,89335.0
arunachal-pradesh,2021,2,kurung kumey,2,94.0
arunachal-pradesh,2021,2,anjaw,2,19882.0
arunachal-pradesh,2021,2,siang,1,5423.0
arunachal-pradesh,2021,2,kra daadi,1,210.0
arunachal-pradesh,2021,2,changlang,12,11258.0
arunachal-pradesh,2021,2,west kameng,20,17896.0
arunachal-pradesh,2021,2,shi yomi,1,933.0
arunachal-pradesh,2021,2,east siang,6,2979.0
arunachal-pradesh,2021,2,upper subansiri,2,467.0
arunachal-pradesh,2021,2,east kameng,4,327.0
arunachal-pradesh,2021,2,lohit,16,21096.0
arunachal-pradesh,2021,2,tawang,13,23216.0
arunachal-pradesh,2021,2,namsai,11,8880.0
arunachal-pradesh,2021,3,lower dibang valley,13,11845.0
arunachal-pradesh,2021,3,lower subansiri,6,11875.0
arunachal-pradesh,2021,3,west siang,21,57300.0
arunachal-pradesh,2021,3,kamle,2,1245.0
arunachal-pradesh,2021,3,upper siang,5,11455.0
arunachal-pradesh,2021,3,tirap,14,38082.0
arunachal-pradesh,2021,3,papum pare,50,95368.0
arunachal-pradesh,2021,3,anjaw,1,1531.0
arunachal-pradesh,2021,3,lower siang,3,1927.0
arunachal-pradesh,2021,3,kra daadi,1,946.0
arunachal-pradesh,2021,3,changlang,15,25894.0
arunachal-pradesh,2021,3,west kameng,22,21566.0
arunachal-pradesh,2021,3,east siang,23,32914.0
arunachal-pradesh,2021,3,upper subansiri,2,2417.0
arunachal-pradesh,2021,3,lohit,10,15097.0
arunachal-pradesh,2021,3,lepa rada,1,946.0
arunachal-pradesh,2021,3,tawang,8,5436.0
arunachal-pradesh,2021,3,namsai,15,35207.0
arunachal-pradesh,2021,4,lower dibang valley,11,12440.0
arunachal-pradesh,2021,4,lower subansiri,7,10820.0
arunachal-pradesh,2021,4,longding,2,4852.0
arunachal-pradesh,2021,4,west siang,14,25308.0
arunachal-pradesh,2021,4,upper siang,2,6420.0
arunachal-pradesh,2021,4,tirap,14,37402.0
arunachal-pradesh,2021,4,papum pare,128,232985.0
arunachal-pradesh,2021,4,kurung kumey,2,4597.0
arunachal-pradesh,2021,4,anjaw,2,1175.0
arunachal-pradesh,2021,4,siang,5,7876.0
arunachal-pradesh,2021,4,lower siang,2,3130.0
arunachal-pradesh,2021,4,changlang,26,59532.0
arunachal-pradesh,2021,4,pakke kessang,4,6980.0
arunachal-pradesh,2021,4,west kameng,37,61049.0
arunachal-pradesh,2021,4,east siang,7,22841.0
arunachal-pradesh,2021,4,upper subansiri,4,6632.0
arunachal-pradesh,2021,4,east kameng,4,4783.0
arunachal-pradesh,2021,4,lohit,17,19353.0
arunachal-pradesh,2021,4,lepa rada,4,22217.0
arunachal-pradesh,2021,4,tawang,14,28772.0
arunachal-pradesh,2021,4,namsai,14,19295.0
arunachal-pradesh,2022,1,lower dibang valley,10,17012.0
arunachal-pradesh,2022,1,lower subansiri,9,27520.0
arunachal-pradesh,2022,1,longding,6,18234.0
arunachal-pradesh,2022,1,west siang,7,16731.0
arunachal-pradesh,2022,1,kamle,2,3042.0
arunachal-pradesh,2022,1,tirap,22,98280.0
arunachal-pradesh,2022,1,papum pare,149,339981.0
arunachal-pradesh,2022,1,kurung kumey,2,2907.0
arunachal-pradesh,2022,1,anjaw,1,56.0
arunachal-pradesh,2022,1,siang,3,10551.0
arunachal-pradesh,2022,1,lower siang,6,16596.0
arunachal-pradesh,2022,1,kra daadi,1,56.0
arunachal-pradesh,2022,1,changlang,22,41022.0
arunachal-pradesh,2022,1,pakke kessang,2,4537.0
arunachal-pradesh,2022,1,dibang valley,2,4047.0
arunachal-pradesh,2022,1,west kameng,36,83342.0
arunachal-pradesh,2022,1,shi yomi,1,1335.0
arunachal-pradesh,2022,1,east siang,22,50073.0
arunachal-pradesh,2022,1,upper subansiri,5,7374.0
arunachal-pradesh,2022,1,east kameng,1,56.0
arunachal-pradesh,2022,1,lohit,17,33684.0
arunachal-pradesh,2022,1,lepa rada,5,32299.0
arunachal-pradesh,2022,1,tawang,11,59469.0
arunachal-pradesh,2022,1,namsai,13,25903.0
arunachal-pradesh,2022,2,lower dibang valley,13,25061.0
arunachal-pradesh,2022,2,lower subansiri,7,13328.0
arunachal-pradesh,2022,2,longding,3,6396.0
arunachal-pradesh,2022,2,west siang,24,54485.0
arunachal-pradesh,2022,2,kamle,2,1353.0
arunachal-pradesh,2022,2,upper siang,2,7050.0
arunachal-pradesh,2022,2,tirap,15,32728.0
arunachal-pradesh,2022,2,papum pare,310,752159.0
